Country,WEPSReg,Country_Risk,ELECOA-S,ELEGAS-S,ELEBIO-S,ELECOA-NS,ELEGAS-NS,ELEBIO-NS,ELESOL-N,ELEWIN-N,ELEHYD-N
Afghanistan,OAS,5.0,,,,,,,,,5.0
Albania,URA,,,,,,,,,,5.0
Algeria,AFR,7.000000000000001,,,,,,,,,5.0
American Samoa,SKO,5.0,,,,,,,,,5.0
Andorra,EUR,,,,,7.000000000000001,2.0,,,,
Angola,AFR,7.000000000000001,,,,,,,,,5.0
Antigua and Barbuda,CSA,6.0,,,,7.000000000000001,2.0,,,,
Argentina,CSA,6.0,,,,7.000000000000001,2.0,,,,
Armenia,URA,,,,,,,,,,5.0
Aruba,CSA,6.0,,,,7.000000000000001,2.0,,,,
Australia,ANZ,,,,,7.000000000000001,2.0,,,,
Austria,EUR,,,10.0,,7.000000000000001,2.0,,,,
Azerbaijan,URA,,,,,,,,,,5.0
Bahrain,MID,7.000000000000001,,,,7.000000000000001,2.0,,,,
Bangladesh,OAS,5.0,,,,,,,,,5.0
Barbados,CSA,6.0,,,,7.000000000000001,2.0,,,,
Belarus,URA,,,,,,,,,,5.0
Belgium,EUR,,,,,7.000000000000001,2.0,,,,
Belize,CSA,6.0,,,,7.000000000000001,2.0,,,,
Benin,AFR,7.000000000000001,,,,,,,,,5.0
Bermuda,CSA,6.0,,,,7.000000000000001,2.0,,,,
Bhutan,OAS,5.0,,,,,,,,,5.0
Bolivia,CSA,6.0,,,,7.000000000000001,2.0,,,,
Bosnia and Herzegovina,URA,,,,,,,,,,5.0
Botswana,AFR,7.000000000000001,,,,,,,,,5.0
Bouvet Island,,,,,,7.000000000000001,2.0,,,,
Brazil,BRZ,,,,,7.000000000000001,2.0,,,,
Brunei,OAS,5.0,,,,,,,,,5.0
Bulgaria,URA,,,,,,,,,,5.0
Burkina Faso,AFR,7.000000000000001,,,,,,,,,5.0
Burundi,AFR,7.000000000000001,,,,,,,,,5.0
Cambodia,OAS,5.0,,,,,,,,,5.0
Cameroon,AFR,7.000000000000001,,,,,,,,,5.0
Canada,CAN,,,,,7.000000000000001,2.0,,,,
Cape Verde,AFR,7.000000000000001,,,,,,,,,5.0
Cayman Islands,CSA,6.0,,,,7.000000000000001,2.0,,,,
Central African Republic,AFR,7.000000000000001,,,,,,,,,5.0
Chad,AFR,7.000000000000001,,,,,,,,,5.0
Chile,MXC,6.0,,,,7.000000000000001,2.0,,,,
China,CHI,2.0,,,,,,,,,
Cocos (Keeling) Islands,,,,,,7.000000000000001,2.0,,,,
Colombia,MXC,6.0,,,,7.000000000000001,2.0,,,,
Comoros,AFR,7.000000000000001,,,,,,,,,5.0
Cook Islands,OAS,5.0,,,,,,,,,5.0
Costa Rica,CSA,6.0,,,,7.000000000000001,2.0,,,,
Ivory Coast,AFR,7.000000000000001,,,,,,,,,5.0
Croatia,URA,,,,,,,,,,5.0
Cuba,CSA,6.0,,,,7.000000000000001,2.0,,,,
Curacao,CSA,6.0,,,,7.000000000000001,2.0,,,,
Cyprus,MID,7.000000000000001,,,,7.000000000000001,2.0,,,,
Czech Republic,EUR,,,,,7.000000000000001,2.0,,,,
Dem. People^s Rep. Korea,OAS,5.0,,,,,,,,,5.0
Democratic Republic of Congo,AFR,7.000000000000001,,,,,,,,,5.0
Denmark,EUR,,,,,7.000000000000001,2.0,,,,
Djibouti,AFR,7.000000000000001,,,,,,,,,5.0
Dominica,CSA,6.0,,,,7.000000000000001,2.0,,,,
Dominican Republic,CSA,6.0,,,,7.000000000000001,2.0,,,,
Ecuador,CSA,6.0,,,,7.000000000000001,2.0,,,,
Egypt,AFR,7.000000000000001,,,,,,,,,5.0
El Salvador,CSA,6.0,,,,7.000000000000001,2.0,,,,
Equatorial Guinea,AFR,7.000000000000001,,,,,,,,,5.0
Eritrea,AFR,7.000000000000001,,,,,,,,,5.0
Estonia,EUR,,,,,7.000000000000001,2.0,,,,
Ethiopia,AFR,7.000000000000001,,,,,,,,,5.0
Faroe Islands,URA,,,,,,,,,,5.0
Fiji,OAS,5.0,,,,,,,,,5.0
Finland,EUR,,,,,7.000000000000001,2.0,,,,
France,EUR,,,,,7.000000000000001,2.0,,,,
French Guiana,CSA,6.0,,,,7.000000000000001,2.0,,,,
French Polynesia,OAS,5.0,,,,,,,,,5.0
Gabon,AFR,7.000000000000001,,,,,,,,,5.0
Georgia,URA,,,,,,,,,,5.0
Germany,EUR,,,,,7.000000000000001,2.0,,,,
Ghana,AFR,7.000000000000001,,,,,,,,,5.0
Gibraltar,EUR,,,,,7.000000000000001,2.0,,,,
Greece,EUR,,,,10.0,7.000000000000001,2.0,,,,
Greenland,EUR,,,,,7.000000000000001,2.0,,,,
Grenada,CSA,6.0,,,,7.000000000000001,2.0,,,,
Guam,SKO,5.0,,,,,,,,,5.0
