Description,GWGlobal,Fuel,Option_Active
Syngas from gasified agricultural waste or poultry litter,0,AGAS,Was
Bagasse,14.2,BAG,Bio
Blast-furnace gas also converter gas or LDG or Finex gas (approx 10% of the heat content of pipeline gas),21.4,BFG,Coa
Biogas from digestion of agricultural waste or food waste or other organic material,1.3,BGAS,Bio
Biogas of Colorado,0,BIOGAS,Bio
Biomass excluding wood chips but including agricultural waste and energy crops,7.7,BIOMASS,Bio
Bitumen or asphalt or asphaltite,0.2,BITUMEN,Oil
Bioderived liquid fuels such as palm oil or vegetable oils or biodiesel or bio-oil or other bioliquids,0.9,BL,Bio
Coal syngas - fuel for IGCC plants (from gasified coal ),3.5,CGAS,Coa
Synthetic gas from petroleum coke,0.4,CKGAS,Oil
Coal,2187.5,COAL,Coa
Coke oven gas (approximately 50% of the heat content of pipeline natural gas),1.1,COG,Coa
Petroleum coke,4.8,COKE,Oil
Coal seam gas (aka coal bed gas or coal bed methane or CBM),1,CSGAS,CoaG
Coal-water mixture (aka coal-water slurry),0.5,CWM,Coa
Corex process offgas,0.3,CXGAS,Coa
Sewage digester gas,0.8,DGAS,Was
Dimethyl ether,*,DME,Bio
Ethanol,0,ETHANOL,Bio
Flare gas or wellhead gas or associated gas,1.6,FGAS,Gas
Natural gas,1305.9,GAS,Gas
Geothermal,13.8,GEO,Geo
Hydrogen gas,0,H2,Hydrogen
Helium,*,HELIUM,Hydrogen
Hazardous waste,0,HZDWST,Hydrogen
Industrial waste or refinery waste,0,INDWST,Was
"Jet fuel (typically kerosene, also naphtha-type)",0.4,JET,Oil
Kerosene (also see jet fuel),4.6,KERO,Oil
Landfill gas,4.4,LGAS,Was
"Lignin, a wood polymer",0,LIGNIN,Bio
Pulping liquor (black liquor),7.4,LIQ,Bio
Liquified natural gas,134.6,LNG,Gas
Liquified petroleum gas (usually butane or propane),1.9,LPG,Oil
Manure fuel,0,MANURE,Was
Meat and bonemeal,0,MBM,Was
Medical waste,0,MEDWST,Was
Methanol,0.1,METHANOL,Bio
Mine gas (methane from active or abandoned coal mines),1.3,MGAS,Gas
Naphtha,3,NAP,Oil
"Natural gas liquids, also natural gas condensate",*,NGL,Oil
None,*,NONE,Hydrogen
Gasified crude oil or refinery bottoms or bitumen,2.3,OGAS,Oil
Fuel oil,432.9,OIL,Oil
"Orimulsion, trade name for emulsified bitumen manufactured in Venezuela - production terminated in 2006",*,ORI,Oil
Private power company - independent power producer,*,P,Hydrogen
Peat,1.8,PEAT,Coa
Paper mill waste or sludges,0.2,PWST,Was
Refuse (unprocessed municipal solid waste),13.9,REF,Was
Syngas from gasified refuse,0.3,REFGAS,Oil
Refinery off-gas,2.6,RGAS,Oil
Waste paper and/or waste plastic,0.1,RPF,Was
Oil shale,2.1,SHALE,Oil
Solar power,64.9,SUN,Sol
Top gas,0.1,TGAS,Gas
Scrap tires,0,TIRES,Was
Tar sands,*,TSAND,Oil
"Unknown operational status, typically assigned to old plant",11.5,UNK,Coa
Uranium,440,UR,Nuc
Util Other: Water and wastewater,*,UTIL OTHER: WATER,Was
VOC gas & vapor,*,VOCGAS,Hydrogen
Water,1295,WAT,Hyd
Wind-powered turbines,295,WIND,Win
Wood or wood-waste fuel,21,WOOD,Bio
Syngas from gasified wood or biomass,0.1,WOODGAS,Bio
Waste gas or low calorific gas (LCV from refinery or other industrial processes),0.8,WSTGAS,Was
Waste heat,308.8,WSTH,Gas
Wastewater sludge,0.1,WSTWSL,Was
