Fuel,Tech,Bound,Price
ng,MinGAS-01,0.4999999999999996,0.8333
ng,MinGAS-02,0.04999999999999999,0.85
ng,MinGAS-03,0.050000000000000044,0.8667
ng,MinGAS-04,0.050000000000000044,0.8833
ng,MinGAS-05,0.050000000000000044,0.9
ng,MinGAS-06,0.050000000000000044,0.9167
ng,MinGAS-07,0.050000000000000044,0.9333
ng,MinGAS-08,0.050000000000000044,0.95
ng,MinGAS-09,0.050000000000000044,0.9667
ng,MinGAS-10,0.050000000000000044,0.9833
ng,MinGAS-11,0.050000000000000044,1.0
ng,MinGAS-12,0.10000000000000009,1.005
ng,MinGAS-13,0.10000000000000009,1.0109
ng,MinGAS-14,0.10000000000000009,1.018
ng,MinGAS-15,0.10000000000000009,1.0267
ng,MinGAS-16,0.10000000000000009,1.0375
ng,MinGAS-17,0.10000000000000009,1.0514
ng,MinGAS-18,0.10000000000000009,1.07
ng,MinGAS-19,0.10000000000000009,1.096
ng,MinGAS-20,0.10000000000000009,1.135
ng,MinGAS-21,0.10000000000000009,1.2
cl,MinCoa-01,0.4999999999999996,0.8333
cl,MinCoa-02,0.04999999999999999,0.85
cl,MinCoa-03,0.050000000000000044,0.8667
cl,MinCoa-04,0.050000000000000044,0.8833
cl,MinCoa-05,0.050000000000000044,0.9
cl,MinCoa-06,0.050000000000000044,0.9167
cl,MinCoa-07,0.050000000000000044,0.9333
cl,MinCoa-08,0.050000000000000044,0.95
cl,MinCoa-09,0.050000000000000044,0.9667
cl,MinCoa-10,0.050000000000000044,0.9833
cl,MinCoa-11,0.050000000000000044,1.0
cl,MinCoa-12,0.10000000000000009,1.005
cl,MinCoa-13,0.10000000000000009,1.0109
cl,MinCoa-14,0.10000000000000009,1.018
cl,MinCoa-15,0.10000000000000009,1.0267
cl,MinCoa-16,0.10000000000000009,1.0375
cl,MinCoa-17,0.10000000000000009,1.0514
cl,MinCoa-18,0.10000000000000009,1.07
cl,MinCoa-19,0.10000000000000009,1.096
cl,MinCoa-20,0.10000000000000009,1.135
cl,MinCoa-21,0.10000000000000009,1.2
bm,MinBio-01,0.4999999999999996,4.1667
bm,MinBio-02,0.04999999999999999,4.25
bm,MinBio-03,0.050000000000000044,4.3333
bm,MinBio-04,0.050000000000000044,4.4167
bm,MinBio-05,0.050000000000000044,4.5
bm,MinBio-06,0.050000000000000044,4.5833
bm,MinBio-07,0.050000000000000044,4.6667
bm,MinBio-08,0.050000000000000044,4.75
bm,MinBio-09,0.050000000000000044,4.8333
bm,MinBio-10,0.050000000000000044,4.9167
bm,MinBio-11,0.050000000000000044,5.0
bm,MinBio-12,0.19999999999999996,5.3333
bm,MinBio-13,0.19999999999999996,5.6923
bm,MinBio-14,0.19999999999999996,6.08
bm,MinBio-15,0.19999999999999996,6.5
bm,MinBio-16,0.19999999999999996,6.9565
bm,MinBio-17,0.19999999999999996,7.4545
bm,MinBio-18,0.20000000000000018,8.0
bm,MinBio-19,0.20000000000000018,8.6
bm,MinBio-20,0.20000000000000018,9.2632
bm,MinBio-21,0.20000000000000018,10.0
rs,MinOIL-01,0.4999999999999996,0.0
rs,MinOIL-02,0.04999999999999999,0.0795
rs,MinOIL-03,0.050000000000000044,0.1628
rs,MinOIL-04,0.050000000000000044,0.25
rs,MinOIL-05,0.050000000000000044,0.3415
rs,MinOIL-06,0.050000000000000044,0.4375
rs,MinOIL-07,0.050000000000000044,0.5385
rs,MinOIL-08,0.050000000000000044,0.6447
rs,MinOIL-09,0.050000000000000044,0.7568
rs,MinOIL-10,0.050000000000000044,0.875
rs,MinOIL-11,0.050000000000000044,1.0
rs,MinOIL-12,1.0,1.05
rs,MinOIL-13,1.0,1.1
rs,MinOIL-14,1.0,1.15
rs,MinOIL-15,1.0,1.2
rs,MinOIL-16,1.0,1.25
rs,MinOIL-17,1.0,1.3
rs,MinOIL-18,1.0,1.35
rs,MinOIL-19,1.0,1.4
rs,MinOIL-20,1.0,1.45
rs,MinOIL-21,1.0,1.5
nu,MINNUC-01,0.4999999999999996,0.88
nu,MINNUC-02,0.04999999999999999,0.89
nu,MINNUC-03,0.050000000000000044,0.91
nu,MINNUC-04,0.050000000000000044,0.92
nu,MINNUC-05,0.050000000000000044,0.93
nu,MINNUC-06,0.050000000000000044,0.95
nu,MINNUC-07,0.050000000000000044,0.96
nu,MINNUC-08,0.050000000000000044,0.97
nu,MINNUC-09,0.050000000000000044,0.98
nu,MINNUC-10,0.050000000000000044,0.99
nu,MINNUC-11,0.050000000000000044,1.0
nu,MINNUC-12,0.10000000000000009,1.02
nu,MINNUC-13,0.10000000000000009,1.04
nu,MINNUC-14,0.10000000000000009,1.06
nu,MINNUC-15,0.10000000000000009,1.08
nu,MINNUC-16,0.10000000000000009,1.1
nu,MINNUC-17,0.10000000000000009,1.12
nu,MINNUC-18,0.10000000000000009,1.14
nu,MINNUC-19,0.10000000000000009,1.16
nu,MINNUC-20,0.10000000000000009,1.18
nu,MINNUC-21,0.10000000000000009,1.2
ds,MinDst-01,0.4999999999999996,0.0
ds,MinDst-02,0.04999999999999999,0.0795
ds,MinDst-03,0.050000000000000044,0.1628
ds,MinDst-04,0.050000000000000044,0.25
ds,MinDst-05,0.050000000000000044,0.3415
ds,MinDst-06,0.050000000000000044,0.4375
ds,MinDst-07,0.050000000000000044,0.5385
ds,MinDst-08,0.050000000000000044,0.6447
ds,MinDst-09,0.050000000000000044,0.7568
ds,MinDst-10,0.050000000000000044,0.875
ds,MinDst-11,0.050000000000000044,1.0
ds,MinDst-12,1.0,1.05
ds,MinDst-13,1.0,1.1
ds,MinDst-14,1.0,1.15
ds,MinDst-15,1.0,1.2
ds,MinDst-16,1.0,1.25
ds,MinDst-17,1.0,1.3
ds,MinDst-18,1.0,1.35
ds,MinDst-19,1.0,1.4
ds,MinDst-20,1.0,1.45
ds,MinDst-21,1.0,1.5
